name,type,RA,Dec,Extension,Flux_Density,l,b,x,y
3FHL J0946.5+1017,PointSource,146.6338761,10.28597631,,7.02479E-16,,,,
3FHL J1850.4+2631,PointSource,282.6100177,26.53200731,,2.14063E-16,,,,
3FHL J0050.7-0929,PointSource,12.68205114,-9.494578757,,8.98649E-15,,,,
3FHL J0051.0-0647,PointSource,12.75253299,-6.795837718,,3.89077E-15,,,,
3FHL J0056.3-0936,PointSource,14.09540115,-9.616595796,,1.12365E-15,,,,
3FHL J0338.9-2848,PointSource,54.74378645,-28.80435072,,1.34975E-15,,,,
3FHL J0350.8-2814,PointSource,57.70743063,-28.23399552,,2.77808E-16,,,,
3FHL J0747.4+0904,PointSource,116.8677661,9.076984161,,6.00006E-16,,,,
3FHL J0757.1+0957,PointSource,119.2889869,9.965689144,,1.15413E-15,,,,
3FHL J0759.6+1322,PointSource,119.9062493,13.38172341,,9.22533E-16,,,,
3FHL J0802.1+1006,PointSource,120.5328373,10.10164678,,5.51219E-16,,,,
3FHL J2158.8-3013,PointSource,329.7169592,-30.22418591,,7.707E-14,,,,
3FHL J2159.2-2840,PointSource,329.8075653,-28.67976386,,8.24855E-16,,,,
